min,max,mean,variance,std
0,96,76.0416,121.80946944000002,11.03673273392085
61,93,79.1872,54.32495616,7.370546530617658
70,93,81.1984,24.59423744,4.959257750913941
68,102,83.7232,32.80498176,5.727563335311099
51,96,76.3824,49.11297024,7.008064657235976
55,92,74.248,74.32089599999999,8.620956791447222
71,96,84.816,28.057344000000008,5.296918349380138
70,95,84.9216,31.37785344,5.601593830330793
65,93,79.7872,47.95631616,6.925049903069291
61,82,72.2288,17.898050559999998,4.230608769432598
59,79,71.0304,13.930275839999998,3.7323284742905463
61,85,73.7264,20.409943039999998,4.51773649519314
62,82,73.68,13.737599999999997,3.7064268507553195
59,81,71.1152,16.72592896,4.089734583075043
60,81,69.5504,25.50505984,5.0502534431452055
54,80,68.48,23.4656,4.84413046892835
67,83,76.992,13.457536,3.668451444410843
69,82,76.84,9.100799999999998,3.0167532215943678
69,90,80.0016,25.14079744,5.014059975708308
78,98,89.7712,13.610050559999998,3.6891802016166135
88,104,96.272,12.790016,3.5763131853907875
66,102,92.1392,41.41262336,6.435264047418722
74,98,87.8848,23.87792896,4.8865047794921885
67,91,77.2832,27.729397759999998,5.265871035260928
72,97,85.7184,18.95430144,4.353653803416161
79,103,89.8864,15.00309504,3.8733828935440915
70,114,84.6016,104.62047744,10.228415196891453
60,108,77.4992,61.17159936,7.821227484225222
58,86,70.9888,29.796674559999996,5.458633030347433
66,83,75.8064,13.973719039999999,3.738143796057075
58,83,72.8592,18.482575360000002,4.299136583082701
61,85,72.7072,33.474268159999994,5.785695131961241
65,87,76.6528,26.146652160000002,5.1133797199112845
69,87,76.4144,16.25867264,4.0322044392614815
34,83,70.9392,44.11470335999999,6.64189004425698
67,89,76.936,27.672704,5.260485148729155
69,87,78.9424,11.843082240000001,3.441377956574953
65,85,74.7328,19.51740416,4.417850626718835
68,92,79.4608,34.46286335999999,5.8705079303242576
73,99,85.4688,58.105026560000006,7.622665318640194
87,111,97.8336,16.06831104,4.008529785345246
80,113,94.896,54.131584,7.35741693802927
74,102,93.4288,38.01773056000001,6.16585197357186
62,111,89.2528,123.41129216,11.109063514086145
74,113,95.2288,91.74765056,9.578499389779173
69,103,84.608,75.93113600000001,8.713847370708303
58,97,76.8944,100.11684864,10.005840726295817
67,156,96.0896,587.53117184,24.2390423045136
63,83,74.208,13.611135999999998,3.6893273099577377
59,91,75.1408,33.64097536,5.800084082149154
55,82,70.9872,41.964636160000005,6.478011744354899
58,92,79.4528,32.359772160000006,5.688565035226371
70,91,79.936,24.453504000000002,4.945048432523184
65,90,78.9008,27.458959359999998,5.240129708318297
62,80,71.3168,14.168437760000002,3.7640985321853626
51,76,60.008,21.742335999999998,4.662867787102696
66,92,79.5648,15.74020096,3.967392211516275
66,91,78.52,46.4256,6.8136333919576275
75,90,81.688,8.163456,2.8571762283765416
65,89,76.9024,26.84007424,5.180740703799024
71,83,76.952,5.312895999999999,2.3049720171837227
71,97,79.0032,18.85118976,4.341795683815626
64,95,85.3408,41.68065536,6.456055712275104
86,111,97.5424,27.368202240000002,5.231462724707116
86,109,98.1216,27.543613439999998,5.248200971761657
75,107,92.3072,57.32962816,7.571633123705876
62,120,90.2752,159.63946496,12.634851204505734
72,101,86.7488,34.13049856,5.8421313371063475
62,95,75.304,40.19238400000001,6.339746367166435
60,129,75.8352,132.00644096,11.489405596461463
70,94,77.4512,23.588418559999994,4.856790973472092
