min,max,mean,variance,std
65,100,79.3212,52.65483055999999,7.256364830960472
62,102,86.0448,70.70999296000001,8.4089234126611
76,110,92.6388,46.60113455999999,6.826502366512443
79,117,96.7988,81.12951856000001,9.007192601471338
59,117,94.2288,146.95485056,12.122493578468088
65,116,93.9532,75.73820976,8.702770234816038
81,109,91.3748,21.64232496,4.652131227727782
68,100,82.3508,31.292539360000003,5.593973485814891
69,90,78.0604,13.99995184,3.7416509511177014
65,94,85.1156,25.494236640000004,5.049181779258894
72,100,90.336,16.002304000000002,4.000287989632747
87,111,98.8356,25.61177264,5.060807508688708
95,138,111.05,59.3147,7.701603729094351
108,143,124.0332,64.46329776,8.028903895302273
108,146,124.0084,84.02832944000001,9.166696757283946
71,125,104.196,182.58878400000003,13.512541729815306
77,116,96.3464,33.730407039999996,5.807788480996876
82,102,91.9488,15.22457856,3.9018685985050805
58,94,83.8424,60.77836224,7.796047860294343
63,86,76.4208,27.62772736,5.25620845857544
72,88,80.652,9.017296000000002,3.002881283034679
73,98,88.566,17.892844,4.229993380609478
80,108,92.7756,34.96524464,5.913141689491298
78,119,100.5244,77.22380463999998,8.787707587306258
110,138,120.9732,29.208481759999994,5.404487187513723
115,150,131.0972,50.40695216,7.099785360135897
71,145,124.3676,201.99887024,14.212630658678217
67,129,105.3744,162.34222463999998,12.741358822354858
77,122,100.594,106.15876400000002,10.303337517523145
88,109,97.596,17.025584,4.126206974934728
71,105,87.8948,30.55013296,5.527217469939101
72,97,86.5372,20.978216160000002,4.580198266450918
13,88,72.7844,98.08271664,9.903671876632425
67,100,84.076,53.514224,7.3153416871667725
81,108,94.7092,23.205435359999996,4.8172020260728114
93,125,107.0704,30.525443840000005,5.524983605405541
104,126,114.17,23.7139,4.869691982045682
91,127,112.9888,64.69907456,8.043573494411548
75,140,115.7348,181.84126895999998,13.484853316221129
76,143,114.7256,244.54470464,15.637925202532463
69,128,99.3572,166.34960816,12.897659018597135
59,108,83.3864,109.93469504,10.48497472767579
64,117,103.3856,78.27451264,8.847288434317036
72,114,92.1352,53.705720959999994,7.328418721661583
81,98,88.92,6.7488,2.5978452609807228
71,95,83.6116,20.873545439999997,4.568757537887079
9,81,56.078,210.47431599999996,14.507732972453
64,97,83.46,56.2236,7.498239793444859
89,120,99.806,44.082764000000005,6.639485221009232
100,131,114.7272,21.48958016,4.6356855113348665
91,132,112.5952,48.43533696,6.959550054421622
84,139,106.5248,132.13338496,11.494928662675553
90,153,126.7044,237.36182064,15.406551224722552
110,157,141.3144,92.69955264,9.628060689463895
109,141,130.0972,39.641352160000004,6.296137876508106
63,136,102.934,231.584844,15.217911946124541
64,127,96.9612,347.35729456,18.637523831238955
83,125,107.6984,54.29383744,7.368435209730761
81,113,93.8708,33.69970736,5.805144904306868
76,97,85.9064,12.68723904,3.5619150804026756
9,72,49.8272,96.81094016,9.83925506123304
65,103,82.8276,69.88587824,8.359777403735102
89,120,106.6416,33.74514944,5.809057534574778
